NIF;NOMBRE FONDO;NUMERO REGISTRO CNMV;GESTORA;DEPOSITARIO;AUDITOR
V64041460;  GVCGAESCO JAPON, FI ;3324; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS, S.L.
V64062110;  CAIXABANK BOLSA ESPAÑA , FI ;3351; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V64062276;  CAIXABANK RENTA FIJA CORPORATIVA, FI ;3346; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V64103484;  CAIXABANK BOLSA GESTION EUROPA, FI ;3377; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V64166200;  SABADELL EUROPA BOLSA ESG, FI ;3425; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V64166242;  SABADELL BOLSAS EMERGENTES, FI ;3426; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V64307911;  DP FONDOS RV GLOBAL FI ;3545; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V64368533;  INVERSABADELL , FI ;3598; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V64371172;  GESIURIS MULTIGESTIÓN, FI ;3599; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE SL
V64425523;  DP AHORRO F.I. ;3731; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V64477524;  CATALANA OCCIDENTE BOLSA MUNDIAL, FI ;3766; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V64534787;  FONSVILA-REAL, FI ;3803; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BANKINTER, S.A.        ;Deloitte S.L.
V64599236;  DP BOLSA ESPAÑOLA FI ;3840; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V64669682;  GVCGAESCO PATRIMONIALISTA, FI ;3887; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V64746845;  RADAR INVERSIÓN, FI ;3936; 1) ORIENTA CAPITAL SGIIC, S.A.        ;BANCO INVERSIS, S.A.        ;PricewaterhouseCoopers, S.L.
V64780109;  BOWCAPITAL GLOBAL FUND, FI ;3957; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;Deloitte, S.L.
V64884117;  CAIXABANK GLOBAL INVEST, FI ;4027; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V64923279;  EDM CARTERA, FI ;4043; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V65087215;  ALBUS, FI ;4121; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V65143661;  CREAND INSTITUCIONAL, FI ;4147; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V65234239;  CdE ODS Impact ISR, FI ;4184; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE, S.L.
V65436941;  CAJA INGENIEROS GESTION DINAMICA, FI ;4276; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE, S.L.
V65590176;  SABADELL PRUDENTE, FI ;4375; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V65650186;  GVC GAESCO OPORTUNIDAD EMPRESAS INMOBILIARIAS R.V., FI ;4399; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V65764581;  BBVA MI INVERSION BOLSA ACUMULACION, FI ;4458; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;ERNST & YOUNG ESPAÑA SA
V65765158;  DP HEALTHCARE FI ;4457; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V65920753;  CAIXABANK SELECCION TENDENCIAS, FI ;4536; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V66013079;  MICROBANK SI IMPACTO RENTA VARIABLE, FI ;4582; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V66035858;  PANDA AGRICULTURE & WATER FUND, FI ;4599; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V66043803;  ARQUIA BANCA LIDERES GLOBALES, FI ;4601; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V66049701;  GVC GAESCO RENTA VALOR, FI ;4607; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V66053737;  EDM RENTA VARIABLE INTERNACIONAL, FI ;4604; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;KPMG Auditores, s.l.
V66158684;  GVC GAESCO K + RENTA VARIABLE, FI ;4667; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V66198227;  CAIXABANK BOLSA USA DIVISA CUBIERTA, FI ;4744; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V66235243;  GVC GAESCO  PLACES WORLDWIDE, FI ;4709; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V66306267;  MEDIOLANUM SMALL & MID CAPS ESPAÑA, FI ;4753; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V66330416;  SABADELL SELECCION EPSILON, FIL ;49; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V66360967;  ARQUIA BANCA LIDERES DEL FUTURO, FI ;4792; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V66412131;  DEEP VALUE INTERNATIONAL, FI ;4828; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V66421264;  GVC GAESCO SOSTENIBLE ISR, FI ;4826; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V66435686;  CAIXABANK ESTRATEGIA FLEXIBLE, FI ;4835; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V66462185;  SABADELL EQUILIBRADO, FI ;4854; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V66462201;  SABADELL DINAMICO, FI ;4855; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V66525692;  MEDIOLANUM REAL ESTATE GLOBAL, FI ;4875; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V66549346;  CATALANA OCCIDENTE EMERGENTES, FI ;4879; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V66574336;  CAIXABANK DP INFLACION , FI ;4894; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66670449;  CAIXABANK SELECCION ALTERNATIVA, FI ;4958; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V66674920;  CAIXABANK DESTINO, FI ;4947; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V66674953;  CAIXABANK DESTINO , FI ;4949; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66674979;  CAIXABANK DESTINO , FI ;4950; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66675018;  CAIXABANK DESTINO , FI ;4948; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66707167;  SABADELL SELECCIÓN ALTERNATIVA, FI ;4964; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V66728908;  ARQUIA BANCA PRUDENTE RV, FI ;4979; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V66728924;  ARQUIA BANCA EQUILIBRADO RV, FI ;4981; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V66728932;  ARQUIA BANCA DINAMICO RV, FI ;4982; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V66747247;  CAIXABANK RENTA FIJA SUBORDINADA, FI ;4988; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66774696;  GESIURIS I DESARROLLO SOSTENIBLE ISR, FI ;5063; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V66783341;  COMPROMISO MEDIOLANUM, FI ;5036; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V66821232;  JAPAN DEEP VALUE FUND FI ;5051; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V66850454;  MAGNUS INTERNATIONAL ALLOCATION, FI ;5072; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V66864190;  SABADELL BONOS INFLACIÓN EURO F.I. ;5077; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V66907411;  CAIXABANK RF DURACION NEGATIVA, FI ;5109; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V66938481;  CAJA INGENIEROS ENVIRONMENT ISR, FI ;5142; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE S.A.
V67015586;  GVC GAESCO RENTA FIJA FLEXIBLE, FI ;5176; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V67047084;  CALIOPE, FI ;5188; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V67305995;  DP MIXTO RV FI ;5319; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V67310821;  GVC GAESCO DIVIDEND FOCUS, F.I. ;5332; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V67572206;  ACAPITAL FERTILITY AND GENOMICS, FI ;5431; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V67633339;  GVC GAESCO GLOBAL EQUITY VALUE PLUS, FI ;5568; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V67633412;  GVC GAESCO MULTIGESTION CRECIMIENTO, FI ;5562; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V67633487;  GVC GAESCO MULTIGESTION EQUILIBRIO, FI ;5563; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V67729350;  MUTUAFONDO IMPACTO SOCIAL, FI ;5606; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICE WATERHOUSECOOPERS AUDITORES, S.L
V67772814;  FERMION FI ;5577; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V67782128;  SABADELL ECONOMÍA MEDICALTECH, FI ;5575; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V67798975;  BANKINTER MULTI-ASSET INVESTMENT, FI ;5576; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V67858407;  BRIGHTGATE-IAPETUS EQUITY, FI ;5581; 1) BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL EN ESPAÑA    ;Auren Auditores MAD, S.L.P.
V67865204;  RURAL IMPACTO GLOBAL, FI ;5614; 1) GESCOOPERATIVO, S.A., S.G.I.I.C.        ;BANCO COOPERATIVO ESPAÑOL, S.A.;KPMG Auditores, S.L.
V67866194;  BANKINTER HORIZONTE , FI ;5578; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V67867622;  BBVA PATRIMONIO GLOBAL CONSERVADOR, FI ;5586; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst &Young, S.L.
V67867739;  BBVA PATRIMONIO GLOBAL MODERADO, FI ;5585; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst &Young, S.L.
V67867812;  BBVA PATRIMONIO GLOBAL DECIDIDO, FI ;5584; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;Ernst &Young, S.L.
V67923813;  PATRIMONIO GLOBAL II, FI ;5579; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;Ernst & Young SL
V67993840;  ALTERNATIVE CINVEST, FIL ;96; 1) GESALCALA, S.A., S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS  AUDITORES SL
V72445398;  BANKINTER DEUDA PUBLICA , FI ;5655; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V72452089;  IBERCAJA PERFILADO  ASG, FI ;5668; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72457856;  CAIXABANK DEUDA PUBLICA ESPAÑA ITALIA , FI ;5651; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V72458276;  FONDO NARANJA RENTABILIDAD  III, FI ;5660; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V72463797;  BANKINTER DEUDA PUBLICA , FI ;5657; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V72474927;  BANKINTER HORIZONTE , FI ;5658; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V72474968;  BANKINTER DEUDA PUBLICA , FI ;5659; 1) BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.        ;BANKINTER, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V72487770;  MARCH RENTA FIJA  GARANTIZADO, FI ;5661; 1) MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.        ;BANCA MARCH, S.A.        ;DELOITTE S.L
V72491939;  KUTXABANK RV OBJETIVO SOSTENIBLE, FI ;5743; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V72494610;  KUTXABANK RF OBJETIVO SOSTENIBLE, FI ;5744; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V72515588;  ALOS, FI ;5679; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V72517659;  CAIXABANK DEUDA PUBLICA ESPAÑA ITALIA  , FI ;5664; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V72539422;  BBVA BONOS  II, FI ;5672; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V72561061;  IBERCAJA ESPAÑA-ITALIA , FI ;5673; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72568744;  CARTERA RENTA FIJA HORIZONTE  FI ;5681; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V72574957;  CARTERA RENTA FIJA HORIZONTE , FI ;5682; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V72597669;  PANZA PREMIUM, FI ;5695; 1) PANZA CAPITAL, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V72597693;  PANZA CORTO PLAZO, FI ;5693; 1) PANZA CAPITAL, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;Pricewaterhousecoopers Auditores, S.L.
V72597719;  PANZA INVERSIONES, FI ;5694; 1) PANZA CAPITAL, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V72597743;  PANZA VALOR, FI ;5696; 1) PANZA CAPITAL, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V72600513;  GESIURIS MIXTO INTERNACIONAL FI ;5688; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V72603715;  ARIEMA PATENTES Y MARCAS, FI ;5700; 1) RENTA 4 GESTORA, S.G.I.I.C., S.A.        ;RENTA 4 BANCO, S.A.        ;Ernst & YoungS.L.
V72604010;  KENTA CAPITAL PAGARES CORPORATIVOS, FIL ;105; 1) RENTA 4 GESTORA, S.G.I.I.C., S.A.        ;RENTA 4 BANCO, S.A.        ;Ernst andYoung, SL
V72607369;  CAIXABANK INTERES , FI ;5677; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V72608847;  ROLNIK RESILIENCE, FI ;5689; 1) ROLNIK CAPITAL OWNERS, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;BDOAuditores, S. L.
V72609753;  IBERCAJA ESPAÑA-ITALIA , FI ;5676; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72610462;  PERSEO, FIL ;106; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Deloitte, S.L.
V72617004;  SABADELL GARANTÍA FIJA , FI ;5702; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S. L.
V72622384;  ATL CAPITAL RENTA FIJA ,FI ;5701; 1) ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.        ;BANKINTER, S.A.        ;ERNST &YOUNG, S.L.
V72625072;  CAIXABANK DEUDA PUBLICA , FI ;5684; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V72625080;  CAIXABANK SMART RENTA VARIABLE REAL ESTATE, FI ;5678; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V72625163;  CAIXABANK DEUDA PUBLICA , FI ;5685; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V72640063;  FONDO NARANJA RENTABILIDAD  I, FI ;5709; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V72640303;  MUTUAFONDO , FI ;5708; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V72644156;  RENTA FIJA ALTO RENDIMIENTO, FIL ;108; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V72687213;  BBVA BONOS  II, FI ;5699; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V72780455;  IBERCAJA CORTO PLAZO EMPRESAS, FI ;5707; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72781123;  RENTA  RENTABILIDAD JUNIO , FI ;5715; 1) RENTA 4 GESTORA, S.G.I.I.C., S.A.        ;RENTA 4 BANCO, S.A.        ;ERNST &YOUNG, SL
V72833296;  SABADELL GARANTÍA FIJA , FI ;5724; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S. L.
V72867658;  IBERCAJA ESPAÑA-ITALIA ABRIL , FI ;5716; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72867906;  IBERCAJA RF HORIZONTE , FI ;5719; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V72880297;  CAIXABANK DEUDA PUBLICA , FI ;5717; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V72892136;  GLOBAL EQUITIES, FI ;5725; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V72988165;  EUROCAJA EXPECTATIVA , FI ;5729; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V72998800;  FONDITEL EURO HORIZONTE , FI ;5723; 1) FONDITEL GESTION, SGIIC, SA        ;BANCO INVERSIS, S.A.        ;PricewaterhouseCoopers Auditores, SL
V75064071;  LABORAL KUTXA SELEK BASE,FI ;4447; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75064105;  LABORAL KUTXA SELEK PLUS,FI ;4448; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75064162;  LABORAL KUTXA SELEK EXTRAPLUS,FI ;4449; 1) CAJA LABORAL GESTION, S.G.I.I.C., S.A.        ;CAJA LABORAL POPULAR COOP. DECREDITO        ;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V75120105;  BANKOA SELECCIÓN ESTRATEGIA , FI ;4818; 1) ABANCA GESTION DE ACTIVOS, SGIIC, SA        ;CECABANK, S.A.        ;KPMGAuditores, S.L.
